Nutrient Value of Some Common Foods - 2008 Edition
DAIRY FOODS AND OTHER RELATED PRODUCTS
Food name,Measure,Weight,Energy,Protein,Total Sugar,Total Fat,Saturated Fat,Calcium,Sodium
,,g,kcal,g,g,g,g,mg,mg
"Buttermilk",250mL,259,104,9,12,2,1.4,300,272
"Milk, chocolate, 1% M.F.",250mL,264,166,9,26,3,1.6,304,161
"Milk, chocolate, 2% M.F.",250mL,264,190,8,26,5,3.3,301,158
"Milk, partly skimmed, 1% M.F.",250mL,258,108,9,13,3,1.6,307,113
"Milk, partly skimmed, 2% M.F.",250mL,258,129,9,13,5,3.3,302,106
"Milk, partly skimmed, 2% M.F., with added milk solids",250mL,260,146,10,14,5,3.2,372,153
"Milk, skim",250mL,259,88,9,13,tr,0.2,324,109
"Milk, whole, 3.3% M.F.",250mL,258,155,8,14,8,5.4,291,103
"Rice beverage, flavoured and unflavoured, enriched",250mL,259,127,tr,tr,2,0.2,319,91
"Soy beverage, chocolate, enriched",250mL,257,162,6,20,4,0.6,323,136
"Soy beverage, original and vanilla, enriched",250mL,257,110,7,9,4,0.5,316,120
"Soy beverage, unsweetened, enriched",250mL,257,85,7,1,4,0.5,318,95
PROCESSED MILK,,,,,,,,,
"Milk, condensed, sweetened, canned (Eagle BrandTM)",15mL,19,62,2,11,2,1.1,55,25
"Milk, evaporated, partly skimmed, canned, diluted, 2% M.F.",250mL,258,122,10,13,3,1.6,369,149
"Milk, evaporated, partly skimmed, canned, undiluted, 2% M.F.",15mL,16,15,1,2,tr,0.2,44,18
"Milk, evaporated, skim, canned, diluted, 0.2% M.F.",250mL,259,105,10,15,tr,0.2,392,157
"Milk, evaporated, skim, canned, undiluted, 0.2% M.F.",15mL,16,13,1,2,tr,tr,47,19
"Milk, evaporated, whole, canned, diluted, 7.8% M.F.",250mL,258,178,9,13,10,6.3,349,143
"Milk, evaporated, whole, canned, undiluted, 7.8% M.F.",15mL,16,21,1,2,1,0.8,42,17
"Milk, reconstituted, from skim milk powder",250mL,259,86,8,13,tr,0.1,301,137
"Skim milk powder",5mL,1,5,1,1,tr,tr,18,8
MILK BEVERAGES,,,,,,,,,
"Chocolate milk, chocolate flavour powder + 2% milk",250mL,279,207,9,tr,6,3.4,321,176
"Chocolate milk, syrup + 2% milk",250mL,298,238,10,tr,5,3.3,319,158
