Nutrient Value of Some Common Foods, 2008 edition
MEAT AND POULTRY
Food name,Measure,Weight,Energy,Protein,Carbohydrate,Total Fat,Saturated Fat,Monounsaturated Fat,Cholesterol,Sodium
,,g,kcal,g,g,g,g,g,mg,mg
"Blade roast, lean + fat, braised",75g,75,200,26,0,10,4,5,71,46
"Blade steak, lean + fat, braised",75g,75,227,23,0,14,5.7,7.1,71,49
"Composite, roast, lean + fat, cooked",75g,75,181,24,0,8,3.5,4.2,61,40
"Composite, steak, lean + fat, cooked",75g,75,196,25,0,9,3.9,4.9,64,40
"Cross rib roast, lean + fat, braised",75g,75,197,27,0,9,3.6,4.5,70,52
"Eye of round roast, lean + fat, roasted",75g,75,148,24,0,5,2.1,2.5,50,40
"Eye of round steak, lean + fat, braised",75g,75,171,28,0,5,2.2,2.8,61,35
"Flank steak, lean + fat, braised",75g,75,184,25,0,8,3.6,4.1,54,45
"Ground, extra lean, crumbled, pan-fried",75g,75,167,23,0,8,3.2,3.3,59,65
"Ground, lean, crumbled, pan-fried",75g,75,194,22,0,11,4.5,5.1,59,70
"Ground, medium, crumbled, pan-fried",75g,75,214,22,0,13,5.6,6,61,68
"Ground, regular, crumbled, pan-fried",75g,75,243,22,0,17,7,7.9,63,78
"Inside (top) round roast, lean + fat, roasted",75g,75,133,24,0,3,1.4,1.6,53,48
"Inside (top) round steak, lean + fat, braised",75g,75,175,30,0,5,2.1,2.6,68,38
"Outside (bottom) round roast, lean + fat, roasted",75g,75,158,25,0,5,2.1,2.8,58,42
"Outside (bottom) round steak, lean + fat, braised",75g,75,195,29,0,8,3,4.2,72,43
"Rib eye steak, lean + fat, broiled",75g,75,230,20,0,16,6.7,8,53,40
"Rib steak, lean + fat, broiled",75g,75,232,23,0,15,6.4,7.3,58,56
"Rump roast, lean + fat, broiled",75g,75,164,21,0,8,3.2,3.6,59,47
"Short ribs, lean + fat, simmered",75g,75,309,17,0,26,11.2,11.8,57,29
"Sirloin tip roast, lean + fat, roasted",75g,75,156,25,0,5,2.2,2.8,58,44
"Standing rib roast, lean + fat, roasted",75g,75,237,21,0,16,6.9,8,55,53
"Stewing beef, lean, simmered",75g,75,183,28,0,7,2.9,tr,68,45
"Strip loin (New York) steak, lean + fat, broiled",75g,75,191,23,0,10,4.3,5.2,55,43
"T-Bone (Porterhouse) steak, lean + fat, broiled",75g,75,216,22,0,13,5.6,6.6,54,51
"Tenderloin, steak, lean + fat, broiled",75g,75,170,24,0,7,3.2,3.6,59,50
"Top sirloin steak, lean + fat, broiled",75g,75,146,21,0,6,2.6,3.1,52,43
VEAL,,,,,,,,,,,,,,,,,,,,
"Composite cuts, lean and fat, cooked",75g,75,173,23,0,9,3.2,3.3,86,65
"Cutlets, grain-fed, pan-fried",75g,75,136,27,0,2,0.7,0.8,78,33
